title,author,price,pages,reviews,avg_rating,value_per_page,link,asin,wishlist_name,format,scraped_timestamp
Bitwise,David Auerbach,629.0,304,29,4.4,2.0690789473684212,https://www.amazon.in/dp/1101871296/?coliid=I2RCYSCFRZBLY3&colid=OPIB1KQBJDHR&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,1101871296,IT Books,"Hardcover

₹629.00",2025-07-21T20:02:57.002555
Google Power Search,Stephan Spencer,,96,22,4.3,,https://www.amazon.in/dp/9350234556/?coliid=I19P0ST3EN277H&colid=OPIB1KQBJDHR&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,9350234556,IT Books,"Paperback

—",2025-07-21T20:02:58.538799
"Software Architecture in Practice | Mobility, Cloud software, AI/Machine Learning | 4th Edition | - Pearson","Len Bass, Paul Clements, ",657.0,400,2,4.5,1.6425,https://www.amazon.in/dp/8196874340/?coliid=I19JVMEUF8SB99&colid=OPIB1KQBJDHR&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,8196874340,IT Books,"Paperback

₹657.00",2025-07-21T20:02:58.550975
The Code Breaker,Walter Isaacson,421.0,560,13042,4.6,0.7517857142857143,https://www.amazon.in/dp/1398518603/?coliid=I2191QKG0QK32K&colid=OPIB1KQBJDHR&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,1398518603,IT Books,"Paperback

₹421.00",2025-07-21T20:02:59.190415
The Linux Command Line: A Complete Introduction,William Shotts,2229.0,504,1934,4.7,4.4226190476190474,https://www.amazon.in/dp/1593279523/?coliid=IYI0SYM71NNH0&colid=OPIB1KQBJDHR&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,1593279523,IT Books,"Paperback

₹2,229.00",2025-07-21T20:03:08.744130
"Artificial Intelligence: A Modern Approach, 4e",Russell/Norvig,813.0,1292,431,4.4,0.6292569659442725,https://www.amazon.in/dp/9356063575/?coliid=IS5LZ6ZSE3XBP&colid=OPIB1KQBJDHR&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,9356063575,IT Books,"Paperback

₹813.00",2025-07-21T20:03:09.396174
"UNIX and Linux Handbook, 5e","Evi Nemeth, Garth Snyder, , , ",993.0,1136,85,4.6,0.8741197183098591,https://www.amazon.in/dp/9353062853/?coliid=IKWBWCMS6QQGC&colid=OPIB1KQBJDHR&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,9353062853,IT Books,"Paperback

₹993.00",2025-07-21T20:03:10.113130
Mastering the Data Paradox : Key to Winning in the AI Age |Ultimate guide to learn about artificial intelligence,Nitin Seth,450.0,400,542,4.8,1.125,https://www.amazon.in/dp/014346552X/?coliid=I2VIQJ1KNT6I2J&colid=OPIB1KQBJDHR&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,014346552X,IT Books,"Hardcover

₹450.00",2025-07-21T20:03:12.057404
The Unicorn Project,Gene Kim,1425.0,352,4551,4.6,4.048295454545454,https://www.amazon.in/dp/1942788762/?coliid=I37KSX7VL7HTG8&colid=OPIB1KQBJDHR&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,1942788762,IT Books,"Hardcover

₹1,425.00",2025-07-21T20:03:16.898198
"The Phoenix Project: A Novel about It, Devops, and Helping Your Business Win",Gene Kim,1225.0,400,14119,4.6,3.0625,https://www.amazon.in/dp/1942788290/?coliid=I1VGZZ1G4N1LTQ&colid=OPIB1KQBJDHR&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,1942788290,IT Books,"Paperback

₹1,225.00",2025-07-21T20:03:18.007278
How Computers Work,"Ron White, Tim Downs",689.0,384,54,4.6,1.7942708333333333,https://www.amazon.in/dp/8183335993/?coliid=I2HWXFN2VP29C8&colid=OPIB1KQBJDHR&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,8183335993,IT Books,"Paperback

₹694.00",2025-07-21T20:03:19.158407
Computer Networks: A Top-Down Approach,"Behrouz A. Forouzan, Firouz Mosharraf",695.0,952,114,4.2,0.7300420168067226,https://www.amazon.in/dp/9355324901/?coliid=I3O8GYNXAM5BDS&colid=OPIB1KQBJDHR&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,9355324901,IT Books,"Paperback

₹695.00",2025-07-21T20:03:21.580331
Data Communications and Networking with TCPIP Protocol Suite| 6th Edition,Behrouz A. Forouzan,829.0,856,103,4.5,0.9684579439252337,https://www.amazon.in/dp/9355320949/?coliid=I2W2OJHTNSJ2QV&colid=OPIB1KQBJDHR&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,9355320949,IT Books,"Paperback

₹829.00",2025-07-21T20:03:25.434821
"The Phoenix Project: A Novel about IT, DevOps, and Helping Your Business Win (Grayscale Indian Edition)","Gene Kim, Kevin Behr, George Spafford",1225.0,356,11,4.7,3.441011235955056,https://www.amazon.in/dp/9355428588/?coliid=I2RP6E227SOXVG&colid=OPIB1KQBJDHR&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,9355428588,IT Books,"Paperback

₹1,225.00",2025-07-21T20:03:27.129207
Data Structures and Algorithms in Python (An Indian Adaptation),"Michael T. Goodrich, , ",736.0,808,311,4.5,0.9108910891089109,https://www.amazon.in/dp/9354247865/?coliid=I1QDQTUCQ3BAWU&colid=OPIB1KQBJDHR&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,9354247865,IT Books,"Paperback

₹736.00",2025-07-21T20:03:28.152939
Algorithms Illuminated (Part 1),Tim Roughgarden,1214.0,228,440,4.6,5.324561403508772,https://www.amazon.in/dp/0999282905/?coliid=I3UFYF97ZH49QB&colid=OPIB1KQBJDHR&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,0999282905,IT Books,"Paperback

₹1,200.00",2025-07-21T20:03:32.812811
"Python Programming: An Introduction to Computer Science, Fourth Edition (Grayscale Indian Edition)",John M. Zelle,1600.0,576,28,4.6,2.7777777777777777,https://www.amazon.in/dp/9355424957/?coliid=I32SRBM6E6850W&colid=OPIB1KQBJDHR&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,9355424957,IT Books,"Paperback

₹1,600.00",2025-07-21T20:03:35.123030
"Python Crash Course, 3rd Edition: A Hands-On, Project-Based Introduction to Programming",Eric Matthes,1599.0,552,1713,4.5,2.8967391304347827,https://www.amazon.in/dp/1718502702/?coliid=I3KL7KCYRN5ARD&colid=OPIB1KQBJDHR&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,1718502702,IT Books,"Paperback

₹1,599.00",2025-07-21T20:03:35.573391
"The Elements of Computing Systems, second edition: Building a Modern Computer from First Principles","Noam Nisan, Shimon Schocken",2944.0,344,226,4.8,8.55813953488372,https://www.amazon.in/dp/0262539802/?coliid=IBMMXYP032RQD&colid=OPIB1KQBJDHR&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,0262539802,IT Books,"Paperback

₹2,944.00",2025-07-21T20:03:37.372267
"C++ Programming Language, 4e",Bjarne Stroustrup,988.0,1364,280,4.4,0.7243401759530792,https://www.amazon.in/dp/9356060134/?coliid=I2JZK89LHAEA9S&colid=OPIB1KQBJDHR&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,9356060134,IT Books,"Paperback

₹988.00",2025-07-21T20:03:40.605948
Death by Screens: how to present high-stakes digital-design work and live to tell the tale,Ben Sauer,1811.0,176,23,4.6,10.289772727272727,https://www.amazon.in/dp/1739355709/?coliid=IOP51MT2MSNNP&colid=OPIB1KQBJDHR&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,1739355709,IT Books,"Paperback

₹1,811.00",2025-07-21T20:03:45.206256
"C PROGRAMMING LANGUAGE, 2ND EDN",Brian W. Kernighan / Dennis Ritchie,431.0,288,4036,4.4,1.4965277777777777,https://www.amazon.in/dp/9332549443/?coliid=I2FC5FO89WQ44R&colid=OPIB1KQBJDHR&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,9332549443,IT Books,"Paperback

₹431.00",2025-07-21T20:03:45.826460
"Articulating Design Decisions: Communicate with Stakeholders, Keep Your Sanity, and Deliver the Best User Experience, Second Edition (Greyscale Indian Edition)",Tom Greever,974.0,240,509,4.6,4.058333333333334,https://www.amazon.in/dp/9385889257/?coliid=I18YEQETWZ9AKA&colid=OPIB1KQBJDHR&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,9385889257,IT Books,"Paperback

₹974.00",2025-07-21T20:03:47.367123
"Linux Pocket Guide: Essential Commands, Fourth Edition (Grayscale Indian Edition)",Daniel J. Barrett,1000.0,372,51,4.8,2.6881720430107525,https://www.amazon.in/dp/935542695X/?coliid=I1FDY2GPQIS4G&colid=OPIB1KQBJDHR&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,935542695X,IT Books,"Paperback

₹1,000.00",2025-07-21T20:03:51.143728
The Golden Ratio In UX Design : And Other Articles On User Experience,Amolendu H.,268.0,96,25,3.4,2.7916666666666665,https://www.amazon.in/dp/164983070X/?coliid=ILQA5W4AZG943&colid=OPIB1KQBJDHR&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,164983070X,IT Books,"Paperback

₹268.00",2025-07-21T20:03:55.233158
"CSS: The Definitive Guide - Web Layout and Presentation, Fifth Edition (Grayscale Indian Edition)","Eric Meyer, Estelle Weyl",3725.0,1128,36,4.8,3.3023049645390072,https://www.amazon.in/dp/9355429703/?coliid=I2ZLPU0B6XST33&colid=OPIB1KQBJDHR&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,9355429703,IT Books,"Paperback

₹3,725.00",2025-07-21T20:03:55.244977
"I, WOZ",Steve Wozniak,623.0,352,1417,4.3,1.7698863636363635,https://www.amazon.in/dp/0755314085/?coliid=I1OA6XSRDKIT8V&colid=OPIB1KQBJDHR&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,0755314085,IT Books,"Paperback

₹623.00",2025-07-21T20:03:57.137316
Hackers,STEVEN LEVY,2136.0,499,694,4.5,4.280561122244489,https://www.amazon.in/dp/1449388396/?coliid=I3NWXKN88EZJLD&colid=OPIB1KQBJDHR&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,1449388396,IT Books,"Paperback

₹2,136.00",2025-07-21T20:04:00.676333
AI 2041,"Kai-Fu Lee, Chen Qiufan",,480,1806,4.4,,https://www.amazon.in/dp/0753559013/?coliid=I3N3M6HKIL7M9X&colid=OPIB1KQBJDHR&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,0753559013,IT Books,"Paperback

—",2025-07-21T20:04:04.306293
THE SOUL OF A NEW MACHINE,Tracy Kidder,874.0,320,1535,4.5,2.73125,https://www.amazon.in/dp/0316491977/?coliid=IUX0VL74K3J0P&colid=OPIB1KQBJDHR&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,0316491977,IT Books,"Paperback

₹874.00",2025-07-21T20:04:05.514597
Google It,Anna Crowley Redding,562.0,240,114,4.2,2.341666666666667,https://www.amazon.in/dp/125079210X/?coliid=IU9AW0J22T1WH&colid=OPIB1KQBJDHR&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,125079210X,IT Books,"Paperback

₹562.00",2025-07-21T20:04:08.297873
"Programming Arduino: Getting Started with Sketches, Second Edition",Simon Monk,,192,1760,4.6,,https://www.amazon.in/dp/1259641635/?coliid=IAEDFKIH19FDZ&colid=OPIB1KQBJDHR&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,1259641635,IT Books,"Paperback

—",2025-07-21T20:04:13.277681
